id,training_session_id,user_id,created_at,updated_at
1114,107,720,01:40.5,01:40.5
1115,107,383,01:40.8,01:40.8
1116,107,299,01:41.0,01:41.0
1117,107,65,01:41.3,01:41.3
1118,107,109,01:41.5,01:41.5
1119,107,51,01:41.8,01:41.8
1120,108,265,01:42.1,01:42.1
1121,108,218,01:42.5,01:42.5
1122,108,8779,01:42.7,01:42.7
1123,108,559,01:43.0,01:43.0
1124,108,407,01:43.2,01:43.2
1125,108,203,01:43.5,01:43.5
1126,108,313,01:43.7,01:43.7
1127,108,310,01:43.9,01:43.9
1128,108,353,01:44.2,01:44.2
1129,108,536,01:44.5,01:44.5
1130,108,4909,01:44.8,01:44.8
1131,109,4608,01:45.0,01:45.0
1132,109,13557,01:45.3,01:45.3
1133,109,1718,01:45.5,01:45.5
1134,109,621,01:45.8,01:45.8
1135,109,485,01:46.0,01:46.0
1136,109,12015,01:46.3,01:46.3
1137,109,6808,01:46.5,01:46.5
1138,109,7111,01:46.8,01:46.8
1139,109,1161,01:47.0,01:47.0
1140,109,10229,01:47.2,01:47.2
1141,109,2790,01:47.5,01:47.5
1142,109,139,01:47.7,01:47.7
1143,109,98,01:48.0,01:48.0
1144,109,5069,01:48.2,01:48.2
1145,109,8766,01:48.5,01:48.5
1146,109,8,01:48.7,01:48.7
1147,109,9,01:49.0,01:49.0
1148,109,645,01:49.2,01:49.2
1149,110,3538,01:49.4,01:49.4
1150,110,553,01:49.7,01:49.7
1151,110,464,01:50.0,01:50.0
1152,110,767,01:50.4,01:50.4
1153,110,11297,01:50.7,01:50.7
1154,110,13550,01:50.9,01:50.9
1155,110,732,01:51.2,01:51.2
1156,110,541,01:51.4,01:51.4
1157,110,1137,01:51.7,01:51.7
1158,111,631,01:51.9,01:51.9
1159,111,443,01:52.1,01:52.1
1160,111,175,01:52.4,01:52.4
1161,111,219,01:52.7,01:52.7
1162,112,145,01:53.0,01:53.0
1163,112,719,01:53.2,01:53.2
1164,112,562,01:53.5,01:53.5
1165,112,507,01:53.7,01:53.7
1166,112,574,01:54.0,01:54.0
1167,112,627,01:54.2,01:54.2
1168,112,721,01:54.5,01:54.5
1169,112,7095,01:54.7,01:54.7
