id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
327,22.47,Usina Corurema Ltda.,Consolidate,O,50.0,BRL,N/A,N/A,2017-02-20 17:38:44.244334,2017-02-20 17:38:44.244334,usinacoruremaltda,,
328,22.97,Pico Da Caledonia Empreendimentos e Participações S.A,Cost,O,1.0,BRL,N/A,N/A,2017-02-20 17:38:44.585368,2017-02-20 17:38:44.585368,picodacaledoniaempreendimentoseparticipaessa,,
329,22.91,Serra Do Lopo Empreendimentos e Participações S/A,Consolidate,O,99.0,BRL,N/A,N/A,2017-02-20 17:38:44.916401,2017-02-20 17:38:44.916401,serradolopoempreendimentoseparticipaessa,,
330,22.98,Rio Turia Servicos Logisticos Ltda.,Consolidate,O,100.0,BRL,N/A,N/A,2017-02-20 17:38:45.260436,2017-02-20 17:38:45.260436,rioturiaservicoslogisticosltda,,
331,57.03,Cereol Bulgaria Food,Dormant,O,100.0,BGN,N/A,N/A,2017-02-20 17:38:45.60547,2017-02-20 17:38:45.60547,cereolbulgariafood,,
332,22.88,Moinho Vera Cruz S/A,Consolidate,O,100.0,BRL,22003102,"2260_Tax /
2260_Tax /
2260_Tax_L C",2017-02-20 17:38:45.941504,2017-02-20 17:38:45.941504,moinhoveracruzsa,,
333,N/A,Ceval Export Securitization Ltd.,N/A,N/A,N/A,BRL,N/A,N/A,2017-02-20 17:38:46.266536,2017-02-20 17:38:46.266536,cevalexportsecuritizationltd,,
334,41.64,Climate Change Capital Wind Energy Onshore Hold Co Limited,Consolidate,O,100.0,GBP,41021801,CCC_Tax,2017-02-20 17:38:46.597569,2017-02-20 17:38:46.597569,climatechangecapitalwindenergyonshoreholdcolimited,,
335,41.65,Climate Change Capital Wind Energy Offshore Hold Co Limited,Consolidate,O,100.0,GBP,41021801,CCC_Tax,2017-02-20 17:38:46.923602,2017-02-20 17:38:46.923602,climatechangecapitalwindenergyoffshoreholdcolimited,,
336,12.05,Neptune Bulk Terminals (Canada) Ltd.,Cost,O,3.48,CAD,N/A,N/A,2017-02-20 17:38:47.246634,2017-02-20 17:38:47.246634,neptunebulkterminalscanadaltd,,
337,41.44,Climate Change Capital Inc.,Consolidate,O,100.0,GBP,41021801,CCC_Tax,2017-02-20 17:38:47.584668,2017-02-20 17:38:47.584668,climatechangecapitalinc,,
338,51.04,Taggia LIII,Consolidate,F,100.0,BRL,22411600,"2241_Tax /
2241_Tax /
2241_Tax_L C",2017-02-20 17:38:47.909701,2017-02-20 17:38:47.909701,taggialiii,,
339,27.02,"BG Commodities Group, S.A.",Consolidate,O,99.9,GTQ,27011320,27011320,2017-02-20 17:38:48.243734,2017-02-20 17:38:48.243734,bgcommoditiesgroupsa,,
340,12.13,Bunge General Partner Inc.,Dormant,H,100.0,CAD,12003901,"1204_Tax /
1204_Tax /
1204_Tax_L C",2017-02-20 17:38:48.560766,2017-02-20 17:38:48.560766,bungegeneralpartnerinc,,
341,12.11,Bunge Ventures Canada GP Inc.,Consolidate,H,100.0,CAD,12003901,"1204_Tax /
1204_Tax_L C",2017-02-20 17:38:48.885798,2017-02-20 17:38:48.885798,bungeventurescanadagpinc,,
342,12.12,Bunge Ventures Canada L.P.,Consolidate,O,99.99999,CAD,12003901,"1204_Tax /
1204_Tax_L C",2017-02-20 17:38:49.20783,2017-02-20 17:38:49.20783,bungeventurescanadalp,,
343,11.84,"Whole Harvest Foods-West, LLC",Consolidate,O,100.0,USD,11002410,1100_Tax,2017-02-20 17:38:49.532863,2017-02-20 17:38:49.532863,wholeharvestfoodswestllc,,
344,43.12,Societe Diester Industrie International,Equity,H,40.0,EUR,43022600,43022600,2017-02-20 17:38:49.857895,2017-02-20 17:38:49.857895,societediesterindustrieinternational,,
345,54.1,Mauresa Consulting Sp zoo,Consolidate,O,100.0,PLN,54133200,5410_Tax_L C,2017-02-20 17:38:50.20693,2017-02-20 17:38:50.20693,mauresaconsultingspzoo,,
