id,policy_id,user_id,created_at,updated_at,task_id
171,1,740,2017-04-24 02:09:29.492942,2017-04-24 02:09:29.492942,13826
172,1,680,2017-04-24 02:41:45.601667,2017-04-24 02:41:45.601667,13515
173,1,793,2017-04-24 02:42:19.776505,2017-04-24 02:42:19.776505,13569
174,1,669,2017-04-24 02:46:47.591853,2017-04-24 02:46:47.591853,13567
175,1,4909,2017-04-24 03:04:43.020836,2017-04-24 03:04:43.020836,13586
176,1,743,2017-04-24 03:39:46.881312,2017-04-24 03:39:46.881312,13810
177,1,13,2017-04-24 03:47:00.991929,2017-04-24 03:47:00.991929,13587
178,1,383,2017-04-24 04:35:16.919501,2017-04-24 04:35:16.919501,13746
179,1,8779,2017-04-24 06:53:27.921948,2017-04-24 06:53:27.921948,13530
180,1,808,2017-04-24 06:59:44.333873,2017-04-24 06:59:44.333873,13717
181,1,24224,2017-04-24 07:12:30.615276,2017-04-24 07:12:30.615276,13872
182,1,559,2017-04-24 07:24:32.044093,2017-04-24 07:24:32.044093,13646
183,1,40,2017-04-24 07:25:24.123254,2017-04-24 07:25:24.123254,13546
184,1,148,2017-04-24 07:25:37.532482,2017-04-24 07:25:37.532482,13525
185,1,449,2017-04-24 07:56:50.988819,2017-04-24 07:56:50.988819,13600
186,1,17339,2017-04-24 07:57:09.386361,2017-04-24 07:57:09.386361,13672
187,1,294,2017-04-24 08:26:27.759913,2017-04-24 08:26:27.759913,13532
188,1,11525,2017-04-24 08:27:58.707372,2017-04-24 08:27:58.707372,13611
189,1,353,2017-04-24 08:32:00.181057,2017-04-24 08:32:00.181057,13744
190,1,5573,2017-04-24 08:37:29.278973,2017-04-24 08:37:29.278973,13752
191,1,4,2017-04-24 09:07:11.040851,2017-04-24 09:07:11.040851,13541
192,1,7465,2017-04-24 09:38:21.030407,2017-04-24 09:38:21.030407,13647
193,1,9043,2017-04-24 10:12:48.625129,2017-04-24 10:12:48.625129,13859
194,1,12507,2017-04-24 11:13:40.058378,2017-04-24 11:13:40.058378,13862
195,1,18,2017-04-24 11:35:28.126637,2017-04-24 11:35:28.126637,13829
196,1,507,2017-04-24 11:51:13.678021,2017-04-24 11:51:13.678021,13570
197,1,977,2017-04-24 12:07:10.657172,2017-04-24 12:07:10.657172,13578
198,1,8871,2017-04-24 12:08:40.085859,2017-04-24 12:08:40.085859,13756
199,1,295,2017-04-24 12:12:40.07044,2017-04-24 12:12:40.07044,13633
200,1,2470,2017-04-24 12:14:17.89806,2017-04-24 12:14:17.89806,13575
201,1,10231,2017-04-24 12:14:51.18487,2017-04-24 12:14:51.18487,13653
202,1,15051,2017-04-24 12:16:50.588614,2017-04-24 12:16:50.588614,13863
203,1,32,2017-04-24 12:22:18.245755,2017-04-24 12:22:18.245755,13697
204,1,10335,2017-04-24 12:37:40.637023,2017-04-24 12:37:40.637023,13537
205,1,15071,2017-04-24 12:37:49.842234,2017-04-24 12:37:49.842234,13729
206,1,17724,2017-04-24 12:41:44.251879,2017-04-24 12:41:44.251879,13645
207,1,17341,2017-04-24 12:48:35.953173,2017-04-24 12:48:35.953173,13545
208,1,632,2017-04-24 13:00:32.939194,2017-04-24 13:00:32.939194,13597
209,1,15064,2017-04-24 13:08:24.261414,2017-04-24 13:08:24.261414,13671
210,1,817,2017-04-24 13:09:05.062224,2017-04-24 13:09:05.062224,13693
211,1,721,2017-04-24 13:09:56.357581,2017-04-24 13:09:56.357581,13648
